City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,qaqortoq,60.7167,-46.0333,-44.63999999999997,65,12,4.48,GL,1706483988
127,bodo,67.28,14.405,12.63600000000007,81,20,6.17,NO,1706483989
128,grand falls-windsor,48.9332,-55.6649,-9.611999999999956,94,69,2.28,CA,1706483989
129,praia da vitoria,38.7333,-27.0667,22.752000000000077,82,40,4.8,PT,1706483989
130,douentza,14.9951,-2.9517,36.55800000000001,16,4,2.33,ML,1706483990
131,geraldton,-28.7667,114.6,34.61400000000003,77,1,5.14,AU,1706483990
132,rio grande,-32.035,-52.0986,41.508,85,20,5.52,BR,1706483990
133,college,64.8569,-147.8028,-48.20399999999995,64,75,0.0,US,1706483991
134,hawaiian paradise park,19.5933,-154.9731,52.90200000000008,71,0,6.69,US,1706483991
135,thompson,55.7435,-97.8558,-17.837999999999944,85,100,2.06,CA,1706483991
136,tahe,52.3333,124.7333,-44.02799999999996,89,100,3.04,CN,1706483992
137,trairi,-3.2778,-39.2689,49.122000000000035,81,73,4.94,BR,1706483992
138,sao joao da barra,-21.6403,-41.0511,45.090000000000025,90,100,2.97,BR,1706483992
139,longyearbyen,78.2186,15.6401,-21.761999999999954,85,0,3.6,SJ,1706483992
140,port elizabeth,-33.918,25.5701,38.32200000000004,74,0,4.63,ZA,1706483993
141,al jawf,29.5,38.75,16.091999999999995,55,8,2.12,SA,1706483993
142,happy valley-goose bay,53.3168,-60.3315,-35.693999999999974,50,0,4.63,CA,1706483993
143,tacuarembo,-31.7333,-55.9833,40.248000000000026,64,21,2.33,UY,1706483993
144,bilibino,68.0546,166.4372,-53.67599999999994,99,100,1.26,RU,1706483994
145,ancud,-41.8697,-73.8203,28.044000000000075,64,2,3.94,CL,1706483994
146,enewetak,11.3474,162.3373,47.10600000000003,72,99,7.58,MH,1706483994
147,tofol,5.3248,163.0078,51.983999999999995,74,75,6.17,FM,1706483995
148,afaahiti,-17.75,-149.2833,55.674000000000014,74,60,0.55,PF,1706483995
149,istaravshan,39.9142,69.0033,9.990000000000022,86,100,1.6,TJ,1706483995
150,santa marta de ortigueira,43.6833,-7.85,25.398000000000025,69,87,3.67,ES,1706483996
151,kailua-kona,19.6406,-155.9956,53.49600000000005,70,20,8.75,US,1706483996
152,santiago de cao,-7.9589,-79.2392,45.12600000000009,83,40,3.6,PE,1706483996
153,beichengqu,40.4394,113.1536,-29.82599999999999,92,11,0.91,CN,1706483996
154,nuuk,64.1835,-51.7216,-41.65199999999998,92,39,4.48,GL,1706483997
155,begoro,6.3871,-0.3774,41.32800000000007,49,1,1.2,GH,1706483997
156,newman,37.3138,-121.0208,37.29600000000005,63,93,0.45,US,1706483997
157,nikolayevsk-on-amure,53.1406,140.73,-35.225999999999935,100,99,0.86,RU,1706483997
158,okhotsk,59.3833,143.3,-44.44199999999994,73,83,5.58,RU,1706483998
159,ola,59.5833,151.2833,-40.89599999999995,81,56,2.52,RU,1706483998
160,frontera,26.9333,-101.45,39.34800000000003,34,0,1.79,MX,1706483998
161,bulgan,48.8125,103.5347,-41.021999999999935,93,78,1.28,MN,1706483998
162,linhares,-19.3911,-40.0722,42.39000000000002,97,100,1.38,BR,1706483845
163,ende,-8.8432,121.6623,47.97000000000006,85,100,2.35,ID,1706483998
164,taltal,-25.4,-70.4833,38.93399999999999,75,22,3.36,CL,1706483782
165,cadale,2.7603,46.3222,47.52000000000006,85,93,7.1,SO,1706483999
166,hermanus,-34.4187,19.2345,32.79600000000005,80,84,2.61,ZA,1706483999
167,san luis de la loma,17.2706,-100.8939,53.082000000000015,50,79,2.88,MX,1706483999
168,susuman,62.7833,148.1667,-72.01799999999999,99,72,0.45,RU,1706483999
169,albesti,47.7,27.0667,-5.958000000000005,90,95,3.17,RO,1706484000
170,zaozersk,69.4005,32.4476,-1.2059999999999265,95,100,8.21,RU,1706484000
171,nogliki,51.8333,143.1667,-30.65399999999995,98,95,2.24,RU,1706483784
172,tromso,69.6496,18.957,9.018000000000086,81,75,12.35,NO,1706484000
173,beyneu,45.3167,55.2,-9.450000000000001,75,100,4.79,KZ,1706484000
174,jinhua,29.1078,119.6547,10.548000000000025,69,100,1.56,CN,1706484001
175,stanley,54.868,-1.6985,19.278000000000066,90,75,3.6,GB,1706484001
176,ivdel',60.6911,60.4206,-32.813999999999986,100,63,1.34,RU,1706484001
177,vorgashor,67.5833,63.95,-22.391999999999996,91,100,5.28,RU,1706484001
178,swinoujscie,53.9105,14.2471,5.544000000000074,81,47,4.12,PL,1706484002
179,nuriootpa,-34.4833,139.0,46.65600000000003,29,0,2.83,AU,1706484002
180,estevan,49.1334,-102.9842,9.341999999999997,75,0,5.14,CA,1706484002
181,patacamaya,-17.2333,-67.9167,23.79600000000005,58,83,5.47,BO,1706484002
182,papao,-17.75,-149.55,57.27600000000009,74,66,0.67,PF,1706484003
183,kintampo,8.0563,-1.7306,49.06800000000009,17,0,0.81,GH,1706484003
184,ouadda,8.0777,22.4007,34.758,25,55,1.91,CF,1706484003
185,cururupu,-1.8283,-44.8683,45.25200000000008,90,85,1.46,BR,1706484003
186,lyuban',52.7985,28.0048,-5.291999999999996,97,99,0.8,BY,1706484004
187,nar'yan-mar,67.6713,53.087,-11.771999999999935,94,100,6.15,RU,1706484004
188,labytnangi,66.6572,66.4183,-37.15199999999998,99,100,1.93,RU,1706484004
189,springbok,-29.6643,17.8865,32.202000000000076,37,97,1.95,ZA,1706484004
190,mount pearl,47.5166,-52.7813,-2.1599999999999797,83,100,6.17,CA,1706484005
191,keflavik,64.0049,-22.5624,-1.3679999999999837,100,100,13.38,IS,1706484005
192,mazatlan,23.2167,-106.4167,53.964000000000034,52,0,5.14,MX,1706483762
193,ust'-ilimsk,58.0006,102.6619,-61.55999999999998,100,6,1.34,RU,1706484005
194,whitehorse,60.7161,-135.0538,6.174000000000013,81,75,5.66,CA,1706484006
195,ta`u,-14.2336,-169.5144,51.94800000000003,79,99,3.73,AS,1706484006
196,ylitornio,66.3089,23.6773,0.36000000000008187,97,100,6.2,FI,1706484006
197,tikaitnagar,26.95,81.5833,16.883999999999993,52,42,1.88,IN,1706484006
198,belaya kholunitsa,58.84,50.8528,-26.1,99,99,2.08,RU,1706484006
199,alik ghund,30.4896,67.5226,10.494000000000074,84,76,1.93,PK,1706484006
200,puerto rico,-26.796,-55.024,43.74000000000002,64,71,1.13,AR,1706484007
201,dudinka,69.4058,86.1778,-22.37399999999991,91,100,9.12,RU,1706484007
202,sarangani,5.4033,125.4636,49.5,74,100,1.32,PH,1706484007
203,tharad,24.3961,71.6267,28.962000000000057,60,100,2.33,IN,1706484007
204,prado,-17.3411,-39.2208,44.29800000000002,92,100,3.58,BR,1706484007
205,baglung,28.2719,83.5898,12.294000000000073,57,2,2.49,NP,1706484008
206,kingston,17.997,-76.7936,49.55400000000005,72,75,3.09,JM,1706483999
207,anzio,41.4853,12.6179,18.45,69,1,1.9,IT,1706484008
208,flin flon,54.7682,-101.865,-3.761999999999955,93,75,2.06,CA,1706484008
209,goure,13.9835,10.2704,30.114000000000033,22,4,5.19,NE,1706484008
210,kone,-21.0595,164.8658,54.108000000000004,53,19,2.06,NC,1706484009
211,colonia,50.9333,6.95,16.812000000000058,55,0,5.14,DE,1706483757
212,hammerfest,70.6634,23.6821,4.05,75,40,8.75,NO,1706484009
213,lyantor,61.6195,72.1555,-44.60399999999995,100,91,1.25,RU,1706484009
214,mankachar,25.5333,89.8667,24.78600000000007,59,54,1.69,IN,1706484009
215,yemetsk,63.4721,41.7941,-4.589999999999918,94,99,3.15,RU,1706484010
216,vanimo,-2.6741,141.3028,50.31000000000008,78,72,0.81,PG,1706484010
217,wadebridge,50.5173,-4.8363,24.282000000000018,94,100,4.63,GB,1706484010
218,east london,-33.0153,27.9116,41.274000000000015,89,94,5.86,ZA,1706484010
219,punta arenas,-53.15,-70.9167,27.108000000000004,51,75,10.29,CL,1706484011
220,talnakh,69.4865,88.3972,-22.787999999999943,94,100,5.81,RU,1706484012
221,mbalmayo,3.5167,11.5,35.98200000000002,58,9,1.29,CM,1706484012
222,kirensk,57.7853,108.1119,-66.04199999999994,100,86,0.89,RU,1706484012
223,suva,-18.1416,178.4415,53.478000000000065,62,75,2.57,FJ,1706484013
224,arawa,-6.2132,155.5367,50.58000000000004,80,100,1.33,PG,1706484013
225,pangai,-19.8,-174.35,48.11400000000003,69,89,5.47,TO,1706484013
226,lazaro cardenas,17.9583,-102.2,51.426000000000094,58,84,4.88,MX,1706484013
227,halifax,44.6453,-63.5724,1.8,90,100,1.7,CA,1706483855
228,jaunpur,25.7333,82.6833,19.818000000000087,56,88,1.69,IN,1706484013
229,patong,7.8961,98.2966,48.74400000000008,74,2,8.82,TH,1706484013
230,puerto aysen,-45.4,-72.7,32.34600000000005,53,10,2.53,CL,1706484014
231,uspenskoye,44.8311,41.3927,-1.1160000000000083,97,100,1.11,RU,1706484014
232,pauini,-7.7136,-66.9764,43.00200000000008,96,100,0.99,BR,1706484015
233,roma,43.2128,-75.4557,4.08600000000007,97,100,1.54,US,1706484016
234,cold springs,39.6802,-119.9766,33.570000000000064,38,0,3.6,US,1706483996
235,vilyuchinsk,52.9306,158.4028,-16.07399999999991,85,89,2.59,RU,1706484016
236,carnarvon,-24.8667,113.6333,41.05800000000001,71,0,8.35,AU,1706484017
237,khovd,48.0056,91.6419,-39.45599999999998,93,94,0.25,MN,1706484017
238,kirakira,-10.4544,161.9205,52.092,77,100,3.14,SB,1706484020
239,jamai,22.2,78.5833,28.368000000000087,37,95,0.14,IN,1706484020
240,pisco,-13.7,-76.2167,48.65400000000005,65,0,7.2,PE,1706484020
241,zeya,53.75,127.2667,-35.51399999999998,87,100,1.38,RU,1706484022
242,leeton,-34.5667,146.4,54.9,35,0,1.65,AU,1706484023
243,woolgoolga,-30.1106,153.2007,46.044000000000075,89,99,3.85,AU,1706484023
244,arraial do cabo,-22.9661,-42.0278,44.24400000000008,84,100,2.62,BR,1706484023
245,taghazout,30.5426,-9.7112,27.77400000000001,35,4,3.58,MA,1706484025
246,veinticinco de mayo,-35.4323,-60.1727,49.98600000000007,47,98,1.34,AR,1706484026
247,avarua,-21.2078,-159.775,48.65400000000005,83,75,3.6,CK,1706484026
248,usogorsk,63.4106,48.6872,-12.32999999999994,94,100,3.45,RU,1706484028
249,yamada,39.4667,141.95,4.283999999999992,69,5,1.64,JP,1706484032
250,golden valley,45.0097,-93.3491,2.0160000000000085,93,100,2.06,US,1706484033
251,tselinnoye,53.0833,85.6667,-20.339999999999918,97,100,0.75,RU,1706484033
252,valparaiso,-33.0393,-71.6273,37.998000000000026,75,20,4.63,CL,1706483781
253,al bardiyah,31.7561,25.0865,24.191999999999997,65,19,5.86,LY,1706484034
254,new norfolk,-42.7826,147.0587,40.89600000000005,60,20,3.84,AU,1706484034
255,howrah,22.5892,88.3103,25.2,82,20,0.0,IN,1706484034
256,gangtok,27.3333,88.6167,6.318000000000086,59,38,2.33,IN,1706484034
257,greymouth,-42.4667,171.2,38.30400000000005,50,2,1.95,NZ,1706484034
258,la passe,45.5549,-0.8967,20.033999999999992,87,72,6.8,FR,1706484035
259,puerto baquerizo moreno,-0.9,-89.6,47.30400000000005,81,76,4.2,EC,1706484035
260,ciudad lazaro cardenas,17.9583,-102.2,51.426000000000094,58,84,4.88,MX,1706483982
261,ust-nera,64.5667,143.2,-72.80999999999999,100,81,3.0,RU,1706484035
262,sparti,37.0733,22.4297,13.80600000000003,76,7,2.08,GR,1706484035
263,el calafate,-50.3408,-72.2768,27.594000000000076,59,90,7.1,AR,1706484036
